tc;test #;kp;kd;ki;ess_step;IAE;ITAE;Kr;Tn;Tv;PR;RT;P-Eng;S-Eng;Eng-rel;osc_p;osc_s;parameter_code;eng-diff;mr_lll_RT;mr_lll_EngS;mr_lll_osc;mr_IAE;mr_PR;total_one
tc100;172;Jun.25;0.03125;781.25;0.8620689655172414;0.0237170824512628;0.0003;0.16;0.008;0.005;1.355;0.052;1055247529.481;5483578939950.375;0.0001924377383888;1;1;lll;-4492439185666.819;1.0;0.0;1.0;1.0;0.0;3.0
tc100;173;6.666666666666667;0.1666666666666666;444.44444444444446;0.8695652173913044;0.075;0.003;0.15;0.015;0.025;1.059;0.071;391222197.908;1442961408610.748;0.0002711245051831;1;1;lll;-451821654327.192;1.0;0.0;1.0;1.0;0.0;3.0
tc100;174;4.545454545454546;0.0227272727272727;432.9004329004329;0.819672131147541;0.0231717892744996;0.0002863636363636;0.22;0.0105;0.005;Jän.28;0.053;849762446.472;4258760935692.415;0.000199532788833;1;1;lll;-3267621181408.859;1.0;0.0;1.0;1.0;0.0;3.0
tc100;175;7.142857142857142;0.25;216.45021645021643;0.8771929824561403;0.1362442659343871;0.0098999999999999;0.14;0.033;0.035;1.062;0.111;237316329.868;592107914241.532;0.0004007991181337;1;1;lll;399031840042.02405;1.0;1.0;1.0;0.0;0.0;3.0
tc100;176;4.3478260869565215;0.3478260869565217;483.0917874396136;0.8130081300813008;0.0839254327416282;0.0037565217391304;0.23;0.009;0.08;1.0;0.209;172420351.166;2204327871084.721;7.821901334539412e-05;19;115;lll;-1213188116801.165;0.0;0.0;0.0;1.0;1.0;2.0
tc100;177;16.666666666666668;0.9166666666666669;248.75621890547265;0.9433962264150942;0.3717357932725876;0.0737;0.06;0.067;0.055;1.073;0.224;112420162.872;98470345667.748;0.0011416651592888;1;3;hlh;892669408615.808;;;;;;
tc100;178;20.0;0.2;10000.0;0.9523809523809523;0.03;0.0004799999999999;0.05;0.002;0.01;1.358;0.052;1589618020.822;12118688144188.402;0.0001311708001648;1;1;hhl;-11127548389904.846;;;;;;
tc100;179;7.142857142857142;0.4285714285714285;140.05602240896357;0.8771929824561403;0.2217624211370615;0.0262285714285714;0.14;0.051;0.06;1.028;0.176;149038298.997;369193447693.463;0.00040368619738;1;3;lll;621946306590.093;0.0;1.0;1.0;0.0;1.0;3.0
tc100;17;4.3478260869565215;0.2608695652173913;76.95267410542516;0.8130081300813008;0.182107230713832;0.0176869565217391;0.23;0.0565;0.06;1.016;0.177;156271654.202;694735758635.609;0.0002249368227553;1;5;lll;296403995647.947;0.0;1.0;0.0;0.0;1.0;2.0
tc100;180;20.0;0.2;1379.310344827586;0.9523809523809523;0.0807774721070175;0.00348;0.05;0.0145;0.01;1.411;0.087;516374198.199;594582071784.856;0.0008684658059885;1;1;hll;396557682498.7001;;;;;;
tc100;181;14.285714285714285;0.0714285714285714;307.21966205837174;0.9345794392523364;0.0864477546597613;0.0039857142857142;0.07;0.0465;0.005;1.263;0.118;264550597.197;248702550319.594;0.0010637228965165;1;1;hll;742437203963.962;;;;;;
tc100;182;4.545454545454546;0.1136363636363636;149.03129657228018;0.819672131147541;0.0883079580476496;0.0041590909090909;0.22;0.0305;0.025;1.055;0.087;314386770.009;1237815961112.193;0.0002539850671553;1;1;lll;-246676206828.6371;1.0;0.0;1.0;1.0;0.0;3.0
tc100;183;4.545454545454546;0.0227272727272727;313.47962382445144;0.819672131147541;0.0272300802923398;0.0003954545454545;0.22;0.0145;0.005;1.254;0.055;710137156.409;2758386520184.786;0.0002574465729195;1;1;lll;-1767246765901.23;1.0;0.0;1.0;1.0;0.0;3.0
tc100;184;4.3478260869565215;0.108695652173913;64.89292667099285;0.8130081300813008;0.1280073027808077;0.0087391304347826;0.23;0.067;0.025;1.047;0.113;243635777.421;969353982065.258;0.0002513382953272;1;1;lll;21785772218.297974;1.0;1.0;1.0;0.0;1.0;4.0
tc100;185;8.333333333333334;0.4583333333333333;406.5040650406504;0.8928571428571428;0.1453981602359534;0.011275;0.12;0.0205;0.055;1.011;0.138;194952011.717;507692836807.339;0.0003839959865161;1;1;lll;483446917476.21704;0.0;1.0;1.0;0.0;1.0;3.0
tc100;186;7.692307692307692;0.0384615384615384;183.15018315018312;0.8849557522123894;0.0602877714351375;0.0019384615384615;0.13;0.042;0.005;1.236;0.081;384317522.544;765703887095.862;0.0005019140284132;1;1;lll;225435867187.69397;1.0;1.0;1.0;1.0;0.0;4.0
tc100;187;4.3478260869565215;0.1739130434782608;173.91304347826085;0.8130081300813008;0.098907071009368;0.0052173913043478;0.23;0.025;0.04;1.014;0.113;248014002.999;1103860545515.211;0.0002246787458856;1;3;lll;-112720791231.6549;1.0;0.0;1.0;1.0;1.0;4.0
tc100;188;Jun.25;0.0625;357.1428571428571;0.8620689655172414;0.049607837082461;0.0013125;0.16;0.0175;0.01;1.236;0.059;577840303.86;1827213218117.685;0.0003162413111564;1;1;lll;-836073463834.129;1.0;0.0;1.0;1.0;0.0;3.0
tc100;189;3.333333333333333;0.2;1111.111111111111;0.7692307692307692;0.0367423461417476;0.0007199999999999;0.3;0.003;0.06;0.941;0.213;2879127793.222;148815196679812.25;1.9347001230100667e-05;43;43;lll;-147824056925528.7;0.0;0.0;0.0;1.0;0.0;1.0
